able,Abel
acclamation,acclimation
acts,ax
Adam,atom
Adam's,atoms
add,ad
addition,edition
additions,editions
adds,ads
adduce,educe
adherence,adherents
ado,adieu
aerial,ariel
aerials,ariels
affected,effected
afterward,afterword
afterwards,afterwords
aid,aide
aids,aides
air,heir,err
airs,heirs,errs
ale,ail
ales,ails
all,awl
allowed,aloud
alluded,eluded
alter,altar
alters,altars
analyst,annalist
analysts,annalists
appetite,apatite
appetites,apatites
apprize,apprise
apprizes,apprises
arc,ark
arcs,arks
are,our,hour
ascent,assent
ascents,assents
assistance,assistants
augur,auger
augurs,augers
aunt,ant
aunts,ants
away,aweigh
axis,axes
axle,axel
axles,axels
Babel,babble
Babel's,babbles
bad,bade
bah,baa
bail,bale,baal
bails,bales
bait,bate
baited,bated
baits,bates
bald,balled,bawled
ball,bawl
balls,bawls
band,banned
barrel,beryl
baron,barren
barons,barrens
barred,bard
base,bass
based,baste
basil,basal
basis,bases
basque,bask
basques,basks
be,bee
beach,beech
bear,bare
bears,bares
beat,beet
beats,beets
been,bin
beer,bier
beers,biers
bell,belle
bells,belles
better,bettor
bib,bibb
bird,burred
birth,berth
bite,byte,bight
bites,bytes,bights
bizarre,bazaar
bizarres,bazaars
block,bloc
blue,blew
board,bored
bold,bowled
bomb,balm,bombe
bombs,balms,bombes
booty,bootie
border,boarder
bore,boar
bores,boars
born,borne
borough,burrow,burro
boroughs,burrows,burros
bot,bought
boulder,bolder
bow,beau,bough
bowed,bode
bows,beaus,boughs
boy,buoy
boys,buoys
braid,brayed
brays,braise
breach,breech
breaches,breeches
bread,bred
break,brake
breaking,braking
breaks,brakes
brewed,brood
brews,bruise
bridal,bridle
broach,brooch
broaches,brooches
browse,brows
brute,brut
build,billed
bullion,bouillon,boolean
burger,burgher
burgers,burghers
bury,berry
bust,bussed
but,butt
buts,butts
by,buy,bye
cached,cashed
caddy,caddie
Cain,cane
Cain's,canes
calendar,calender
calendars,calenders
callous,callus
cannon,canon
cannons,canons
cantor,canter
caught,cot
canvas,canvass
canvases,canvasses
capital,capitol
capitals,capitols
carol,carrel
carrot,carat,caret,karat
carrots,carats,carets,karats
cash,cache
cashes,caches
cast,caste
caster,castor
casts,castes
cause,caws
cedar,seeder
ceiling,sealing
center,centre
chance,chants
chased,chaste
chauffeur,shofar
cheap,cheep
check,Czech
checks,Czechs
chic,sheik
Chile,chili,chilly
Chile's,chilis
choir,quire
choose,chews
cider,sider
cited,sided,sighted
clack,claque
clacks,claques
clammer,clamor,clamber
clammers,clamors,clambers
clause,claws
click,clique
clicks,cliques
climb,clime
climbs,climes
close,clothes,cloze
clue,clew
clues,clews
coal,cole
coals,coles
coarser,courser
coat,cote
coats,cotes
coax,cokes
collared,collard
complacent,complaisant
complement,compliment
complements,compliments
conceded,conceited
console,consul,consol
consonants,consonance
continents,continence
cops,copse
coral,choral
cord,chord,cored
cords,chords
core,corps
coughers,coffers
coulee,coolie,coulis
council,counsel
councils,counsels
coup,coo
coupe,coop
coupes,coops
coups,coos
course,coarse
cousin,cozen
coward,cowered
coy,koi
craft,kraft
crafts,krafts
crawl,kraal
creek,creak
creeks,creaks
crepe,crape
cruel,crewel
cruise,crews
current,currant
currents,currants
cursor,curser
cursors,cursers
Cyprus,cypress
damn,dam
damns,dams
Dane,deign
Danes,Dane's,deigns
days,daze
dear,deer
dense,dents
descent,dissent
die,dye
dies,dyes
diffused,defused
discrete,discreet
disperse,disburse
disperses,disburses
do,due,dew
doc,dock
docs,docks
does,doze
dominance,dominants
done,dun
dough,doe
draft,draught
drafts,draughts
dual,duel
ducked,duct
ducks,ducts
dues,dews
dying,dyeing
earn,urn
earns,urns
effect,affect
effects,affects
eight,ate
eke,eek
ekes,eeks
elude,allude
eludes,alludes
elusive,illusive,allusive
emend,amend
ensure,insure
ensures,insures
errant,arrant
eve,eave
eves,eaves
exceed,accede
exceeds,accedes
except,accept
excepts,accepts
exercise,exorcise
exercises,exorcises
eyes,ayes
facts,fax
faint,feint
faints,feints
fair,fare
fairs,fares
fairy,ferry
fawn,faun
fawns,fauns
feet,feat
fens,fends
fete,fate
fetes,fates
few,phew
find,fined
finish,Finnish
fisher,fissure
fishers,fissures
flare,flair
flares,flairs
flee,flea
flees,fleas
flew,flu,flue
flocks,phlox
flow,floe
flower,flour
flowers,flours
flows,floes
flyer,flier
flyers,fliers
foe,faux
fold,foaled
for,four,fore
foregone,forgone
fort,forte
forts,fortes
forward,foreword
forwards,forewords
foul,fowl
fouls,fowls
fourth,forth
frank,franc
franks,francs
freeze,frees,frieze
friar,fryer
friars,fryers
fur,fir
furs,firs
gaffe,gaff
gaffes,gaffs
gale,Gail
gales,Gail's
gamble,gambol
gambles,gambols
gate,gait
gates,gaits
gauge,gage
gauges,gages
gel,jell
gels,jells
gene,Jean
genes,jeans,Jean's
gilder,guilder
gnome,Nome
gooey,GUI
gopher,gofer
gophers,gofers
gorilla,guerilla
gorillas,guerillas
gourd,gored
grade,grayed
graft,graphed
graham,gram
grahams,grams
graze,grays
great,grate
greater,grater
greats,grates
Greece,grease
Greece's,greases
grill,grille
grills,grilles
grizzly,grisly
grown,groan
guest,guessed
guild,gild
guilds,gilds
guilt,gilt
hail,hale
hair,hare
hairs,hares
hall,haul
halls,hauls
handmade,handmaid
handsome,hansom
hangar,hanger
hangars,hangers
have,halve
haze,hays
he'd,heed
he'll,heal,heel
heals,heels
heard,herd
heart,hart
hearts,harts
here,hear
heroin,heroine
hey,hay
high,hi
higher,hire
him,hymn
ho,hoe
hold,holed
holy,wholly,holey
hoop,whoop
hoops,whoops
horde,hoard
hordes,hoards
horse,hoarse
hos,hoes,hose
hostile,hostel
hostiles,hostels
Hugh,hue,hew
Hugh's,hues,hews
humorous,humerus
hurts,hertz
I,eye,aye
I'd,eyed
I'll,aisle,isle
idle,idol,idyll
idles,idols,idylls
illicit,elicit
illusion,allusion
illusions,allusions
imminent,immanent
impassable,impassible
in,inn
innocence,innocents
innumerable,enumerable
insight,incite
insights,incites
instance,instants
intense,intents
invariance,invariants
islet,eyelet
its,it's
jam,jamb
jams,jambs
Jason,JSON
jibe,gibe
jibes,gibes
Jim,gym
Jim's,gyms
jinx,jinks
kernel,colonel
kernels,colonels
knickers,nickers
knit,nit
knits,nits
knock,nock
knocks,nocks
lacks,lax
laid,lade
lama,llama
lamas,llamas
lane,lain
laps,lapse,Lapps
latter,ladder
lay,lei
lays,leis,laze
leach,leech
lead,led
leak,leek
leaks,leeks
lean,lien
leans,liens
least,leased
lee,lea
lens,lends
lesson,lessen
lessons,lessens
let's,lets
levies,levees
levy,levee
liar,lyre,lier
lie,lye
light,lite
liken,lichen
links,lynx
literal,littoral
load,lode,lowed
loads,lodes
loan,lone
loathe,loath
loathes,loaths
loch,lock
lochs,locks,lox
loot,lute
loots,lutes
Lou,lieu
low,lo
lumber,lumbar
made,maid
main,Maine,mane
mains,Maine's,manes
male,mail
males,mails
mall,maul
manner,manor
manners,manors
mantle,mantel
mantles,mantels
mark,marc
martial,marshal
martials,marshals
martin,marten
Mary,marry,merry
mast,massed
mat,matte
mats,mattes
matter,madder
mayor,mare
mayors,mares
maze,maize
mean,mien
meet,meat,mete
meets,meats,metes
metal,medal,mettle,meddle
metals,medals,meddles
meteor,meatier
might,mite
mill,mil
mince,mints
mind,mined
minor,miner
minors,miners
missed,mist
missile,missal
moan,mown
moat,mote
moats,motes
mode,mowed
mood,mooed
moose,mousse
morning,mourning
mourn,morn
Mrs,misses
mucus,mucous
mule,mewl
muscle,mussel
muscles,mussels
muse,mews
must,mussed
mustard,mustered
nap,knap
naps,knaps
naval,navel
nave,knave
naves,knaves
nay,neigh
need,knead,kneed
new,knew,gnu
Nice,niece
night,knight
nights,knights
no,know
none,nun
nose,knows
not,knot
oh,owe
one,won
or,ore,oar
oral,aural
ores,oars
oriole,aureole
orioles,aureoles
ours,hours
outcast,outcaste
overdue,overdo
overseas,oversees
owed,ode
packed,pact
paean,peon,paeon
pain,pane
pains,panes
pair,pear,pare
pairs,pears,pares
pale,pail
pales,pails
palette,palate,pallet
palettes,palates,pallets
parish,perish
parley,parlay
parleys,parlays
past,passed
paste,paced
patients,patience
patted,padded
Paul,pall
Paul's,palls
pause,paws
peak,peek,pique
peaks,peeks,piques
peas,pees
pedal,peddle,petal
pee,pea
peel,peal
peels,peals
peer,pier
peers,piers
penance,pennants
per,purr
perl,pearl,purl
pervade,purveyed
Pete,peat
Pete's,peats
petrol,petrel
pew,pugh
phase,faze
Phil,fill
Phil's,fills
phrase,frays
picot,pekoe
pie,pi
piece,peace
pigeon,pidgin
pilot,Pilate
pistol,pistil
plane,plain
planes,plains
plaque,plack
plate,plait
please,pleas
plum,plumb
poll,pole
polls,poles
pour,pore
pours,pores
praise,prays,preys
pray,prey
precedence,precedents
premier,premiere
premiers,premieres
presence,presents
pride,pried
primer,primmer
prince,prints
principle,principal
principles,principals
profit,prophet
profits,prophets
pros,prose
pull,pool
pulls,pools
quartz,quarts
queue,cue
queues,cues
quince,quints
rabbit,rabbet
rack,wrack
racks,wracks
rain,reign,rein
rains,reigns,reins
raise,rays,raze
raises,razes
rapper,wrapper
read,red,reed
real,reel
residents,residence
rest,wrest
rests,wrests
review,revue
reviews,revues
right,write,rite
rights,writes,rites
rigor,rigger
ring,wring
rings,wrings
road,rode,rowed
roads,rhodes
role,roll
roles,rolls
Rome,roam
room,rheum
rose,rows
rough,ruff
route,root
routes,roots
row,roe
rude,rued
rue,roux
rumor,roomer
rung,wrung
Russell,rustle
rye,wry
sachet,sashay
sack,sac
sacks,sacs,sax
sale,sail
sales,sails
sane,seine
saver,savor
savers,savors
scalar,scaler
see,sea
seed,cede
seeds,cedes
seem,seam
seems,seams
seen,scene
seer,sear,sere
sees,seize,seas
sell,cell
seller,cellar
sellers,cellars
sells,cells
sense,cents,scents
sensor,censor
sensors,censors
sent,cent,scent
serial,cereal
serials,cereals
series,Ceres
session,cession
sewing,sowing
sheer,shear
shoe,shoo
