String to Insert,Spoken

# Emoji
😁,smile
🤓,glasses
😎,sunglasses
🧐,monocle
🤨,eyebrow
🕺,dance
😩,sigh
🤦,face palm
😡,angry
🦀,crab
🐈,cat
🎉,celebrate
👆,point up
👍,thumbs up
👎,thumbs down
🤘,horns
🙄,roll eyes
😂,laughing
🤔,thinking
🤷,shrug
🤖,robot
🚗,car
💩,poop
😅,embarrassed
😕,confused
😢,sad
🤒,sick
😴,sleeping

# Other useful characters
…,ellipsis

# Lowercase Greek letters
α,alpha
β,beta
γ,gamma
δ,delta
ε,epsilon
ζ,zeta
η,eta
θ,theta
ι,iota
κ,kappa
λ,lambda
μ,mu
ν,nu
ξ,xi
ο,omicron
π,pi
ρ,rho
σ,sigma
τ,tau
υ,upsilon
φ,phi
χ,chi
ψ,psi
ω,omega

# Uppercase Greek letters
Α,big alpha
Β,big beta
Γ,big gamma
Δ,big delta
Ε,big epsilon
Ζ,big zeta
Η,big eta
Θ,big theta
Ι,big iota
Κ,big kappa
Λ,big lambda
Μ,big mu
Ν,big nu
Ξ,big xi
Ο,big omicron
Π,big pi
Ρ,big rho
Σ,big sigma
Τ,big tau
Υ,big upsilon
Φ,big phi
Χ,big chi
Ψ,big psi
Ω,big omega
